trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
105,0,105,0,195.46440149995033,,195.4227622000035,10,195.46440149995033,195.46440149995033,0.029873999999836087,197.36924219992943,[-0.20555555555555555],[0.011111111111111112],[1],[0],[0],[1.9168459000065923],['target'],KK,001,2024-10-10_19h32.31.406,visula search,2024.1.5,None,2024-10-10 19h32.46.142999 +0530,
106,0,106,0,197.394423599937,,197.37219239992555,5,197.394423599937,197.394423599937,0.01497449993621558,202.08461939997505,[-0.1],[0.4925925925925926],[1],[0],[0],[4.697670899913646],['target'],KK,001,2024-10-10_19h32.31.406,visula search,2024.1.5,None,2024-10-10 19h32.46.142999 +0530,
107,0,107,0,202.1258256000001,,202.08750010002404,10,202.1258256000001,202.1258256000001,0.027068600058555603,205.4006284000352,[0.24722222222222223],[-0.34629629629629627],[1],[0],[0],[3.286298600025475],['target'],KK,001,2024-10-10_19h32.31.406,visula search,2024.1.5,None,2024-10-10 19h32.46.142999 +0530,
108,0,108,0,205.44140050001442,,205.40330739994533,10,205.44140050001442,205.44140050001442,0.026700400048866868,207.56601950002369,[0.36203703703703705],[0.2601851851851852],[1],[0],[0],[2.1362238998990506],['target'],KK,001,2024-10-10_19h32.31.406,visula search,2024.1.5,None,2024-10-10 19h32.46.142999 +0530,
109,0,109,0,207.6074691999238,,207.56873719999567,10,207.6074691999238,207.6074691999238,0.02714000002015382,209.46614060003776,[-0.4388888888888889],[0.08148148148148149],[1],[0],[0],[1.870511299930513],['target'],KK,001,2024-10-10_19h32.31.406,visula search,2024.1.5,None,2024-10-10 19h32.46.142999 +0530,
110,0,110,0,209.50663860002533,,209.46875899995212,10,209.50663860002533,209.50663860002533,0.026273899944499135,215.44722870003898,[0.31666666666666665],[-0.3888888888888889],[1],[0],[0],[5.952432799967937],['target'],KK,001,2024-10-10_19h32.31.406,visula search,2024.1.5,None,2024-10-10 19h32.46.142999 +0530,
111,0,111,0,215.4878064999357,,215.44976350001525,10,215.4878064999357,215.4878064999357,0.026801600004546344,217.0798974999925,[-0.4759259259259259],[0.21481481481481482],[1],[0],[0],[1.603428400005214],['target'],KK,001,2024-10-10_19h32.31.406,visula search,2024.1.5,None,2024-10-10 19h32.46.142999 +0530,
112,0,112,0,217.10297679994255,,217.08237960003316,5,217.10297679994255,217.10297679994255,0.01340109994634986,219.07915479992516,[0.2324074074074074],[-0.25833333333333336],[1],[0],[0],[1.9835797999985516],['target'],KK,001,2024-10-10_19h32.31.406,visula search,2024.1.5,None,2024-10-10 19h32.46.142999 +0530,
113,0,113,0,219.1033129999414,,219.0821345000295,5,219.1033129999414,219.1033129999414,0.014030099962837994,222.02817279996816,[0.20185185185185187],[-0.21296296296296297],[1],[0],[0],[2.9321768999798223],['target'],KK,001,2024-10-10_19h32.31.406,visula search,2024.1.5,None,2024-10-10 19h32.46.142999 +0530,
114,0,114,0,222.05614509992301,,222.0317090000026,5,222.05614509992301,222.05614509992301,0.017080700024962425,223.6779079999542,[-0.4601851851851852],[-0.1962962962962963],[1],[0],[0],[1.6295632000546902],['target'],KK,001,2024-10-10_19h32.31.406,visula search,2024.1.5,None,2024-10-10 19h32.46.142999 +0530,
115,0,115,0,223.7026812999975,,223.68049359996803,5,223.7026812999975,223.7026812999975,0.014871799969114363,225.81021769996732,[0.30092592592592593],[0.4083333333333333],[1],[0],[0],[2.115045199985616],['target'],KK,001,2024-10-10_19h32.31.406,visula search,2024.1.5,None,2024-10-10 19h32.46.142999 +0530,
116,0,116,0,225.8344858000055,,225.81286289996933,5,225.8344858000055,225.8344858000055,0.013782799942418933,227.1765604999382,[0.21944444444444444],[0.4305555555555556],[1],[0],[0],[1.3501007999293506],['target'],KK,001,2024-10-10_19h32.31.406,visula search,2024.1.5,None,2024-10-10 19h32.46.142999 +0530,
117,0,117,0,227.20123509992845,,227.17931849998422,5,227.20123509992845,227.20123509992845,0.014324399991892278,228.9423880999675,[0.42777777777777776],[0.023148148148148147],[1],[0],[0],[1.7488475000718608],['target'],KK,001,2024-10-10_19h32.31.406,visula search,2024.1.5,None,2024-10-10 19h32.46.142999 +0530,
118,0,118,0,228.98678099992685,,228.94570439995732,10,228.98678099992685,228.98678099992685,0.029916899977251887,230.5752714999253,[-0.25833333333333336],[-0.1814814814814815],[1],[0],[0],[1.6000585000729188],['target'],KK,001,2024-10-10_19h32.31.406,visula search,2024.1.5,None,2024-10-10 19h32.46.142999 +0530,
119,0,119,0,230.61573409999255,,230.57792619999964,10,230.61573409999255,230.61573409999255,0.026017999975010753,232.62501119996887,[-0.13703703703703704],[-0.028703703703703703],[1],[0],[0],[2.0212610999587923],['target'],KK,001,2024-10-10_19h32.31.406,visula search,2024.1.5,None,2024-10-10 19h32.46.142999 +0530,
120,0,120,0,232.6483719999669,,232.62751519994345,5,232.6483719999669,232.6483719999669,0.013460599933750927,235.49057110003196,[0.2814814814814815],[0.30648148148148147],[1],[0],[0],[2.849795800051652],['target'],KK,001,2024-10-10_19h32.31.406,visula search,2024.1.5,None,2024-10-10 19h32.46.142999 +0530,
121,0,121,0,235.53209260001313,,235.49361330003012,10,235.53209260001313,235.53209260001313,0.027066799928434193,238.40669299999718,[0.37777777777777777],[-0.2564814814814815],[1],[0],[0],[2.8862871000310406],['target'],KK,001,2024-10-10_19h32.31.406,visula search,2024.1.5,None,2024-10-10 19h32.46.142999 +0530,
122,0,122,0,238.4471444999799,,238.40930589998607,10,238.4471444999799,238.4471444999799,0.02652840001974255,240.33969960000832,[0.2611111111111111],[-0.28425925925925927],[1],[0],[0],[1.904042899957858],['target'],KK,001,2024-10-10_19h32.31.406,visula search,2024.1.5,None,2024-10-10 19h32.46.142999 +0530,
123,0,123,0,240.3660247999942,,240.3425357999513,5,240.3660247999942,240.3660247999942,0.015332400100305676,241.7216683999868,[0.058333333333333334],[0.12777777777777777],[1],[0],[0],[1.364031899953261],['target'],KK,001,2024-10-10_19h32.31.406,visula search,2024.1.5,None,2024-10-10 19h32.46.142999 +0530,
124,0,124,0,241.74626039993018,,241.7246662999969,5,241.74626039993018,241.74626039993018,0.014339099987410009,243.90421089995652,[-0.2722222222222222],[-0.21296296296296297],[1],[0],[0],[2.165470300009474],['target'],KK,001,2024-10-10_19h32.31.406,visula search,2024.1.5,None,2024-10-10 19h32.46.142999 +0530,
125,0,125,0,243.92897719994653,,243.9073114999337,5,243.92897719994653,243.92897719994653,0.014591899933293462,245.7882726000389,[0.3648148148148148],[0.3731481481481482],[1],[0],[0],[1.8665771000087261],['target'],KK,001,2024-10-10_19h32.31.406,visula search,2024.1.5,None,2024-10-10 19h32.46.142999 +0530,
126,0,126,0,245.81455459992867,,245.7916227999376,5,245.81455459992867,245.81455459992867,0.015499799977988005,247.52039319998585,[0.062037037037037036],[0.1287037037037037],[1],[0],[0],[1.7135795999784023],['target'],KK,001,2024-10-10_19h32.31.406,visula search,2024.1.5,None,2024-10-10 19h32.46.142999 +0530,
127,0,127,0,247.5485614000354,,247.52394630003255,5,247.5485614000354,247.5485614000354,0.016206400003284216,249.00279990001582,[-0.32314814814814813],[0.037037037037037035],[1],[0],[0],[1.4629775000503287],['target'],KK,001,2024-10-10_19h32.31.406,visula search,2024.1.5,None,2024-10-10 19h32.46.142999 +0530,
