trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
104,0,104,0,191.9106331000803,,191.87332850007806,10,191.9106331000803,191.9106331000803,0.026084500015713274,194.53617269999813,[0.18425925925925926],[-0.3351851851851852],[1],[0],[0],[2.6370484000071883],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
105,0,105,0,194.57995360007044,,194.5390682000434,10,194.57995360007044,194.57995360007044,0.028823299915529788,195.9021003000671,[-0.2101851851851852],[-0.11296296296296296],[1],[0],[0],[1.334400000050664],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
106,0,106,0,195.92637590004597,,195.90480250003748,5,195.92637590004597,195.92637590004597,0.013998900074511766,197.10232970002107,[-0.4101851851851852],[0.12314814814814815],[1],[0],[0],[1.183682700037025],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
107,0,107,0,197.14404010004364,,197.1055622000713,10,197.14404010004364,197.14404010004364,0.0277859999332577,200.2843472000677,[-0.09907407407407408],[0.44537037037037036],[1],[0],[0],[3.1513685999670997],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
108,0,108,0,200.3242296000244,,200.286892300006,10,200.3242296000244,200.3242296000244,0.0262168999761343,203.0342779000057,[0.35648148148148145],[-0.06574074074074074],[1],[0],[0],[2.7213484999956563],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
109,0,109,0,203.0765266000526,,203.03690830001142,10,203.0765266000526,203.0765266000526,0.028152999933809042,206.24968770006672,[0.4027777777777778],[0.4361111111111111],[1],[0],[0],[3.1849063999252394],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
110,0,110,0,206.2734913000604,,206.25232810003217,5,206.2734913000604,206.2734913000604,0.013837600010447204,208.59868330007885,[0.23148148148148148],[-0.3527777777777778],[1],[0],[0],[2.332653399906121],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
111,0,111,0,208.64170040003955,,208.60145710001234,10,208.64170040003955,208.64170040003955,0.028828199952840805,210.33114470005967,[0.262037037037037],[0.012962962962962963],[1],[0],[0],[1.7009372999891639],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
112,0,112,0,210.35541310010012,,210.33373529999517,5,210.35541310010012,210.35541310010012,0.014137300080619752,212.51415579998866,[-0.1925925925925926],[-0.3277777777777778],[1],[0],[0],[2.1664555000606924],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
113,0,113,0,212.5590727000963,,212.51676700008102,10,212.5590727000963,212.5590727000963,0.030142099945805967,213.88008720008656,[-0.08888888888888889],[-0.09259259259259259],[1],[0],[0],[1.3334286999888718],['target'],TS,001,2024-10-10_20h10.48.730,visula search,2024.1.5,None,2024-10-10 20h12.40.319911 +0530,
