trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
106,0,106,0,215.52348039997742,,215.48217600001954,10,215.52348039997742,215.52348039997742,0.028906899970024824,216.7120072999969,[-0.2814814814814815],[-0.32222222222222224],[1],[0],[0],[1.2013101999182254],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
107,0,107,0,216.7380271999864,,216.71483379998244,5,216.7380271999864,216.7380271999864,0.015107000013813376,218.09513260005042,[0.2851851851851852],[0.10555555555555556],[1],[0],[0],[1.3653259000275284],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
108,0,108,0,218.14005209994502,,218.09870710002724,10,218.14005209994502,218.14005209994502,0.028872499940916896,220.47778129996732,[-0.006481481481481481],[-0.25555555555555554],[1],[0],[0],[2.3506503999233246],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
109,0,109,0,220.51923610002268,,220.48065209994093,10,220.51923610002268,220.51923610002268,0.027590899961069226,222.06053739995696,[-0.34629629629629627],[-0.028703703703703703],[1],[0],[0],[1.5524552999995649],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
110,0,110,0,222.0845284999814,,222.06335139996372,5,222.0845284999814,222.0845284999814,0.013628599932417274,223.55998839996755,[0.26296296296296295],[-0.1962962962962963],[1],[0],[0],[1.483271099976264],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
111,0,111,0,223.60568279994186,,223.56342400005087,10,223.60568279994186,223.60568279994186,0.03059840004425496,225.65916749997996,[-0.49074074074074076],[0.03148148148148148],[1],[0],[0],[2.0655564999906346],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
112,0,112,0,225.70090860000346,,225.6620481000282,10,225.70090860000346,225.70090860000346,0.02721699990797788,226.8429362999741,[-0.18055555555555555],[0.23796296296296296],[1],[0],[0],[1.1539644999429584],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
113,0,113,0,226.8855232000351,,226.84567900002003,10,226.8855232000351,226.8855232000351,0.027453299961052835,227.9756245999597,[-0.10462962962962963],[0.19537037037037036],[1],[0],[0],[1.1026954000117257],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
114,0,114,0,228.01788059994578,,227.9781942999689,10,228.01788059994578,228.01788059994578,0.02686419989913702,230.24106449994724,[0.24814814814814815],[-0.33055555555555555],[1],[0],[0],[2.236262800055556],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
115,0,115,0,230.26570400001947,,230.2437533000484,5,230.26570400001947,230.26570400001947,0.014514700043946505,231.77373310003895,[-0.3537037037037037],[-0.41759259259259257],[1],[0],[0],[1.5156707999994978],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
116,0,116,0,231.817354699946,,231.77678349998314,10,231.817354699946,231.817354699946,0.029042899957858026,233.72375939995982,[0.2462962962962963],[0.4185185185185185],[1],[0],[0],[1.9182324999710545],['target'],DM,001,2024-10-10_19h58.50.672,visula search,2024.1.5,None,2024-10-10 20h03.00.274554 +0530,
