trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
38,0,38,0,71.29744400002528,,71.2741798000643,5,71.29744400002528,71.29744400002528,0.01518190000206232,75.25340680009685,[0.36944444444444446],[0.49537037037037035],[1],[0],[0],[3.964379799901508],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
39,0,39,0,75.27980550006032,,75.25644870009273,5,75.27980550006032,75.27980550006032,0.014689599978737533,76.76967609999701,[0.1388888888888889],[-0.09444444444444444],[1],[0],[0],[1.4988364999881014],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
40,0,40,0,76.81545790005475,,76.7726805000566,10,76.81545790005475,76.81545790005475,0.029660800006240606,77.73663490009494,[0.2722222222222222],[-0.08796296296296297],[1],[0],[0],[0.9345108999405056],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
41,0,41,0,77.76508800010197,,77.73963690001983,5,77.76508800010197,77.76508800010197,0.016629999969154596,79.45221330004279,[0.18611111111111112],[0.33240740740740743],[1],[0],[0],[1.6961372999940068],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
42,0,42,0,79.49678310006857,,79.45577250001952,10,79.49678310006857,79.49678310006857,0.02826279995497316,83.46754440001678,[0.04259259259259259],[0.44537037037037036],[1],[0],[0],[3.9839468999998644],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
43,0,43,0,83.50900760001969,,83.47012260009069,10,83.50900760001969,83.50900760001969,0.02611480001360178,85.0673082000576,[0.20555555555555555],[0.05555555555555555],[1],[0],[0],[1.5712212999351323],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
44,0,44,0,85.112431100104,,85.0701234000735,10,85.112431100104,85.112431100104,0.028894799994304776,86.8836314000655,[-0.4777777777777778],[0.32592592592592595],[1],[0],[0],[1.7847666000016034],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
45,0,45,0,86.93062400002964,,86.8861990000587,10,86.93062400002964,86.93062400002964,0.031551299965940416,89.58232190005947,[-0.24074074074074073],[0.41203703703703703],[1],[0],[0],[2.6647710000397637],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
46,0,46,0,89.60660490009468,,89.58511610003188,5,89.60660490009468,89.60660490009468,0.014008800033479929,91.3316525000846,[-0.4212962962962963],[-0.30092592592592593],[1],[0],[0],[1.732785900007002],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
47,0,47,0,91.3575647000689,,91.33445280010346,5,91.3575647000689,91.3575647000689,0.01511669997125864,93.04837309999857,[0.45925925925925926],[-0.11574074074074074],[1],[0],[0],[1.6990412999875844],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
48,0,48,0,93.07630130008329,,93.05137120001018,5,93.07630130008329,93.07630130008329,0.016586199984885752,95.86342840001453,[-0.3611111111111111],[-0.2657407407407407],[1],[0],[0],[2.7955194999231026],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
49,0,49,0,95.89029380003922,,95.86623860010877,5,95.89029380003922,95.89029380003922,0.015266100061126053,97.24648190010339,[-0.4685185185185185],[0.10925925925925926],[1],[0],[0],[1.3651503999717534],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
50,0,50,0,97.28866850002669,,97.2493312000297,10,97.28866850002669,97.28866850002669,0.026299600023776293,98.99556170008145,[0.06574074074074074],[-0.40370370370370373],[1],[0],[0],[1.720179400057532],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
51,0,51,0,99.02051630010828,,98.99811570008751,5,99.02051630010828,99.02051630010828,0.014356500003486872,100.928679500008,[0.010185185185185186],[0.4601851851851852],[1],[0],[0],[1.916349699953571],['target'],TK,001,2024-10-10_19h40.06.592,visula search,2024.1.5,None,2024-10-10 19h40.22.567699 +0530,
